track_name,valence,duration_ms,album_name,album_release_year,tempo,danceability,lyrical_density,energy
The Birds Pt. 1 - Original,0.171,214516,Thursday (Original),2011,127.873,0.56,0.0351,0.586
The Birds Pt. 2 - Original,0.177,350584,Thursday (Original),2011,78.639,0.278,0.0357,0.564
Gone - Original,0.262,486426,Thursday (Original),2011,109.371,0.473,0.091,0.478
Rolling Stone - Original,0.397,230784,Thursday (Original),2011,129.92,0.678,0.0317,0.352
Heaven Or Las Vegas - Original,0.212,353732,Thursday (Original),2011,125.055,0.53,0.063,0.699
High For This - Original,0.0967,249102,House Of Balloons (Original),2011,75.033,0.466,0.0502,0.403
What You Need - Original,0.0608,206421,House Of Balloons (Original),2011,133.853,0.638,0.0854,0.335
House Of Balloons / Glass Table Girls - Original,0.228,407316,House Of Balloons (Original),2011,88.989,0.662,0.0342,0.511
The Morning - Original,0.191,314110,House Of Balloons (Original),2011,120.097,0.682,0.0441,0.51
Wicked Games - Original,0.258,325305,House Of Balloons (Original),2011,114.033,0.606,0.032,0.57
The Party & The After Party - Original,0.163,459660,House Of Balloons (Original),2011,101.733,0.645,0.0406,0.58
Coming Down - Original,0.344,295435,House Of Balloons (Original),2011,120.973,0.694,0.0353,0.649
Loft Music - Original,0.112,363057,House Of Balloons (Original),2011,77.528,0.257,0.0921,0.443
The Knowing - Original,0.168,342829,House Of Balloons (Original),2011,85.994,0.454,0.03,0.668
